,Flag.leaf.length,Flag.leaf.width,Panicle.number.per.plant,Plant.height,Panicle.length,Primary.panicle.branch.number,Seed.number.per.panicle,Florets.per.panicle,Seed.length,Seed.width
195,31.21666667,1.55,2.722756348,95.5,23.82222222,10.77777778,4.742755849,4.985317486,10.29484167,3.689725
198,21.55833333,1.316666667,3.205452805,90.83333333,23.13333333,9,4.88692564,5.026866489,9.716916667,2.708091667
200,30.88888889,1.166666667,3.80666249,137,23.47777778,7.666666667,4.626061545,4.772566093,8.027308333,2.769508333
201,35.88888889,1.588888889,2.456735773,111.25,25.9,10.88888889,4.955044279,5.072392172,9.34845,3.53535
202,33.6,1.433333333,3.149882953,127.25,22.38888889,10.125,4.641180624,5.017279837,9.380325,2.977608333
203,35.41666667,1.058333333,3.944812828,143.8333333,26.56666667,8.5,4.708027571,4.820281566,7.877266667,2.76445
205,29.41666667,1.341666667,2.862200881,115.3333333,23.84166667,9.416666667,4.94875989,5.037601742,9.4767,3.619025
206,37.7,1.055555556,3.468336684,187.8888889,34.68888889,9.444444444,4.615120517,5.091019824,8.714466667,3.077716667
207,40.95833333,1.391666667,3.441130092,121.5,29.55555556,11.55555556,5.170483995,5.472270674,8.444055556,2.960244444
208,42.24444444,1.188888889,3.786711703,141,24.38888889,13.33333333,5.068904202,5.18178355,7.999666667,2.720216667
209,25.27777778,1.088888889,3.55296427,88.55555556,24.06666667,11.66666667,5.050923813,5.123467825,7.4538,3.156941667
211,23.79166667,1.083333333,3.083437854,101.1666667,20.36666667,7.5,4.508108473,4.601831285,8.923466667,3.604725
213,33.36666667,1.433333333,2.730029108,120.0833333,23.475,10.91666667,5.12148074,5.334729653,9.409616667,3.367525
214,38.4,1.466666667,2.880219386,123.1666667,26.71111111,12.77777778,5.247024072,5.416504361,9.39707,2.5966
215,32.45,1.45,2.876385516,101.0833333,22.51666667,10,4.899082808,5.006180944,8.7648,3.501758333
216,30.80833333,0.929166667,3.663561646,103.3333333,21.82222222,9.777777778,4.932509939,5.101528018,7.008625,3.43315
217,31.38333333,0.916666667,2.862200881,120.75,28.20909091,11.45454545,5.200002678,5.386994023,9.3689,2.562808333
218,25.425,0.866666667,3.245193133,113.75,24.9,9.833333333,4.62333749,4.918154441,9.46975,2.615783333
219,23.48333333,0.983333333,3.390024081,87.75,18.26666667,6.666666667,4.204692619,4.447984602,9.0154,3.449654545
220,30.86666667,1.025,3.54337187,95.25,19.85555556,7.888888889,3.978831675,4.175784894,8.0079,3.501618182
221,29.78333333,0.925,3.171085161,117,22.975,6.5,4.558253266,4.684443367,8.3324,2.88335
